respondent,years_coding,years_coding_prof
1,3-5 years,3-5 years
3,30 or more years,18-20 years
4,24-26 years,6-8 years
5,18-20 years,12-14 years
7,6-8 years,0-2 years
8,6-8 years,3-5 years
9,9-11 years,0-2 years
10,0-2 years,3-5 years
11,30 or more years,21-23 years
16,0-2 years,NA
17,6-8 years,0-2 years
18,0-2 years,NA
19,0-2 years,NA
20,3-5 years,3-5 years
21,0-2 years,0-2 years
22,3-5 years,3-5 years
26,0-2 years,NA
27,6-8 years,0-2 years
29,0-2 years,3-5 years
31,3-5 years,NA
33,15-17 years,12-14 years
34,24-26 years,24-26 years
37,9-11 years,6-8 years
38,18-20 years,18-20 years
39,3-5 years,3-5 years
41,9-11 years,9-11 years
43,12-14 years,12-14 years
44,3-5 years,0-2 years
45,6-8 years,3-5 years
46,9-11 years,6-8 years
47,3-5 years,3-5 years
50,9-11 years,6-8 years
51,6-8 years,0-2 years
52,3-5 years,3-5 years
53,18-20 years,NA
54,12-14 years,6-8 years
55,9-11 years,3-5 years
56,6-8 years,3-5 years
57,0-2 years,0-2 years
59,30 or more years,12-14 years
60,9-11 years,NA
61,0-2 years,0-2 years
63,24-26 years,24-26 years
66,9-11 years,6-8 years
67,6-8 years,0-2 years
71,3-5 years,3-5 years
72,15-17 years,9-11 years
75,3-5 years,3-5 years
76,6-8 years,6-8 years
77,15-17 years,3-5 years
78,21-23 years,21-23 years
79,18-20 years,18-20 years
80,9-11 years,6-8 years
81,9-11 years,9-11 years
82,9-11 years,9-11 years
83,6-8 years,0-2 years
84,18-20 years,15-17 years
85,9-11 years,0-2 years
87,9-11 years,9-11 years
88,18-20 years,NA
89,3-5 years,3-5 years
90,12-14 years,3-5 years
91,12-14 years,6-8 years
92,6-8 years,0-2 years
95,3-5 years,NA
96,6-8 years,0-2 years
97,3-5 years,NA
98,9-11 years,9-11 years
101,3-5 years,NA
103,6-8 years,3-5 years
105,12-14 years,3-5 years
106,12-14 years,12-14 years
107,6-8 years,6-8 years
111,0-2 years,0-2 years
112,3-5 years,NA
113,24-26 years,21-23 years
117,15-17 years,12-14 years
118,12-14 years,NA
119,3-5 years,0-2 years
120,15-17 years,3-5 years
122,0-2 years,0-2 years
123,15-17 years,9-11 years
124,24-26 years,9-11 years
125,3-5 years,3-5 years
126,3-5 years,3-5 years
127,9-11 years,3-5 years
129,6-8 years,0-2 years
131,3-5 years,3-5 years
132,9-11 years,3-5 years
133,0-2 years,0-2 years
134,6-8 years,6-8 years
135,0-2 years,0-2 years
136,3-5 years,NA
137,6-8 years,6-8 years
138,6-8 years,3-5 years
140,0-2 years,0-2 years
141,9-11 years,NA
142,15-17 years,9-11 years
143,0-2 years,0-2 years
146,0-2 years,0-2 years
148,6-8 years,6-8 years
149,0-2 years,NA
150,3-5 years,0-2 years
151,12-14 years,9-11 years
152,0-2 years,NA
153,6-8 years,3-5 years
155,3-5 years,0-2 years
156,0-2 years,NA
157,6-8 years,NA
158,3-5 years,NA
160,3-5 years,3-5 years
161,9-11 years,6-8 years
162,3-5 years,0-2 years
163,21-23 years,18-20 years
164,3-5 years,3-5 years
167,3-5 years,3-5 years
168,3-5 years,3-5 years
169,21-23 years,18-20 years
170,3-5 years,0-2 years
175,12-14 years,NA
177,6-8 years,3-5 years
179,12-14 years,12-14 years
181,9-11 years,6-8 years
182,3-5 years,3-5 years
184,9-11 years,0-2 years
186,15-17 years,9-11 years
187,9-11 years,9-11 years
188,3-5 years,3-5 years
189,3-5 years,0-2 years
192,18-20 years,6-8 years
194,15-17 years,NA
195,3-5 years,3-5 years
196,9-11 years,6-8 years
198,15-17 years,12-14 years
201,6-8 years,0-2 years
202,3-5 years,3-5 years
206,6-8 years,3-5 years
211,3-5 years,NA
212,12-14 years,NA
213,9-11 years,6-8 years
214,9-11 years,3-5 years
216,15-17 years,6-8 years
217,6-8 years,0-2 years
218,15-17 years,6-8 years
219,3-5 years,3-5 years
222,6-8 years,0-2 years
226,9-11 years,6-8 years
228,30 or more years,18-20 years
230,3-5 years,NA
231,6-8 years,3-5 years
233,6-8 years,3-5 years
234,3-5 years,NA
236,0-2 years,0-2 years
237,6-8 years,3-5 years
240,6-8 years,3-5 years
242,6-8 years,3-5 years
243,3-5 years,3-5 years
244,9-11 years,9-11 years
245,12-14 years,12-14 years
246,15-17 years,15-17 years
247,6-8 years,3-5 years
248,9-11 years,6-8 years
249,9-11 years,9-11 years
250,3-5 years,NA
251,12-14 years,9-11 years
253,0-2 years,0-2 years
254,0-2 years,0-2 years
255,15-17 years,6-8 years
256,3-5 years,0-2 years
257,9-11 years,6-8 years
260,30 or more years,27-29 years
261,9-11 years,6-8 years
263,0-2 years,NA
264,15-17 years,9-11 years
265,9-11 years,NA
266,6-8 years,6-8 years
267,6-8 years,3-5 years
270,0-2 years,0-2 years
271,6-8 years,3-5 years
272,9-11 years,9-11 years
274,6-8 years,6-8 years
278,9-11 years,3-5 years
279,6-8 years,3-5 years
280,3-5 years,NA
282,12-14 years,6-8 years
283,6-8 years,NA
284,15-17 years,12-14 years
285,9-11 years,6-8 years
286,6-8 years,0-2 years
287,0-2 years,0-2 years
289,18-20 years,15-17 years
291,6-8 years,0-2 years
293,3-5 years,NA
294,3-5 years,0-2 years
295,9-11 years,3-5 years
296,15-17 years,9-11 years
297,0-2 years,0-2 years
298,18-20 years,15-17 years
